day;exposed;infectous;infected;recovered;susceptible;infected_cum
0;10;0;10;0;4990;10
1;10;0;10;0;4990;10
2;10;0;10;0;4990;10
3;10;0;10;0;4990;10
4;10;0;10;0;4990;10
5;0;10;10;0;4990;10
6;5;10;15;0;4985;15
7;6;10;16;0;4984;16
8;11;10;21;0;4979;21
9;15;10;25;0;4975;25
10;21;10;31;0;4969;31
11;21;15;36;0;4964;36
12;26;16;42;0;4958;42
13;24;21;45;0;4955;45
14;25;15;40;10;4950;50
15;22;21;43;10;4947;53
16;17;26;43;10;4947;53
17;18;32;50;10;4940;60
18;20;35;55;10;4935;65
19;23;40;63;10;4927;73
20;30;38;68;15;4917;83
21;41;37;78;16;4906;94
22;37;39;76;21;4903;97
23;45;40;85;25;4890;110
24;43;42;85;31;4884;116
25;51;47;98;36;4866;134
26;56;52;108;42;4850;150
27;65;52;117;45;4838;162
28;70;60;130;50;4820;180
29;78;63;141;53;4806;194
30;78;81;159;53;4788;212
31;82;90;172;60;4768;232
32;89;97;186;65;4749;251
33;91;107;198;73;4729;271
34;107;111;218;83;4699;301
35;119;118;237;94;4669;331
36;128;135;263;97;4640;360
37;149;141;290;110;4600;400
38;163;155;318;116;4566;434
39;174;167;341;134;4525;475
40;185;181;366;150;4484;516
41;202;198;400;162;4438;562
42;197;220;417;180;4403;597
43;214;240;454;194;4352;648
44;229;263;492;212;4296;704
45;254;284;538;232;4230;770
46;281;311;592;251;4157;843
47;304;326;630;271;4099;901
48;337;347;684;301;4015;985
49;349;373;722;331;3947;1053
50;363;410;773;360;3867;1133
51;381;443;824;400;3776;1224
52;416;467;883;434;3683;1317
53;432;510;942;475;3583;1417
54;468;537;1005;516;3479;1521
55;488;571;1059;562;3379;1621
56;497;627;1124;597;3279;1721
57;507;669;1176;648;3176;1824
58;509;713;1222;704;3074;1926
59;533;751;1284;770;2946;2054
60;560;778;1338;843;2819;2181
61;589;820;1409;901;2690;2310
62;610;839;1449;985;2566;2434
63;635;873;1508;1053;2439;2561
64;628;921;1549;1133;2318;2682
65;612;957;1569;1224;2207;2793
66;606;993;1599;1317;2084;2916
67;587;1017;1604;1417;1979;3021
68;577;1040;1617;1521;1862;3138
69;556;1061;1617;1621;1762;3238
70;545;1072;1617;1721;1662;3338
71;513;1092;1605;1824;1571;3429
72;478;1095;1573;1926;1501;3499
73;440;1084;1524;2054;1422;3578
74;425;1057;1482;2181;1337;3663
75;393;1028;1421;2310;1269;3731
76;359;995;1354;2434;1212;3788
77;352;938;1290;2561;1149;3851
78;324;896;1220;2682;1098;3902
79;286;870;1156;2793;1051;3949
80;264;815;1079;2916;1005;3995
81;255;767;1022;3021;957;4043
82;237;713;950;3138;912;4088
83;221;664;885;3238;877;4123
84;207;611;818;3338;844;4156
85;191;566;757;3429;814;4186
86;166;544;710;3499;791;4209
87;144;510;654;3578;768;4232
88;121;460;581;3663;756;4244
89;104;425;529;3731;740;4260
90;90;398;488;3788;724;4276
91;83;358;441;3851;708;4292
92;73;330;403;3902;695;4305
93;72;295;367;3949;684;4316
94;63;265;328;3995;677;4323
95;53;233;286;4043;671;4329
96;40;204;244;4088;668;4332
97;31;182;213;4123;664;4336
98;24;160;184;4156;660;4340
99;20;137;157;4186;657;4343
100;19;120;139;4209;652;4348
101;19;100;119;4232;649;4351
102;16;92;108;4244;648;4352
103;14;80;94;4260;646;4354
104;13;67;80;4276;644;4356
105;11;56;67;4292;641;4359
106;11;46;57;4305;638;4362
107;11;36;47;4316;637;4363
108;9;31;40;4323;637;4363
109;9;27;36;4329;635;4365
110;6;27;33;4332;635;4365
111;3;26;29;4336;635;4365
112;4;23;27;4340;633;4367
113;4;20;24;4343;633;4367
114;3;17;20;4348;632;4368
115;3;14;17;4351;632;4368
116;3;13;16;4352;632;4368
117;1;13;14;4354;632;4368
118;3;11;14;4356;630;4370
119;3;9;12;4359;629;4371
120;3;6;9;4362;629;4371
121;4;5;9;4363;628;4372
122;4;5;9;4363;628;4372
123;3;5;8;4365;627;4373
124;2;6;8;4365;627;4373
125;2;6;8;4365;627;4373
126;1;5;6;4367;627;4373
127;1;5;6;4367;627;4373
128;0;5;5;4368;627;4373
129;0;5;5;4368;627;4373
130;0;5;5;4368;627;4373
131;0;5;5;4368;627;4373
132;0;3;3;4370;627;4373
