day;exposed;infectous;infected;recovered;susceptible;infected_cum
0;10;0;10;0;4990;10
1;10;0;10;0;4990;10
2;10;0;10;0;4990;10
3;10;0;10;0;4990;10
4;10;0;10;0;4990;10
5;0;10;10;0;4990;10
6;4;10;14;0;4986;14
7;10;10;20;0;4980;20
8;11;10;21;0;4979;21
9;12;10;22;0;4978;22
10;18;10;28;0;4972;28
11;17;14;31;0;4969;31
12;14;20;34;0;4966;34
13;14;21;35;0;4965;35
14;15;12;27;10;4963;37
15;12;18;30;10;4960;40
16;14;21;35;10;4955;45
17;15;24;39;10;4951;49
18;17;25;42;10;4948;52
19;20;27;47;10;4943;57
20;22;26;48;14;4938;62
21;22;25;47;20;4933;67
22;28;28;56;21;4923;77
23;32;30;62;22;4916;84
24;33;29;62;28;4910;90
25;35;31;66;31;4903;97
26;39;33;72;34;4894;106
27;32;42;74;35;4891;109
28;36;47;83;37;4880;120
29;39;50;89;40;4871;129
30;41;52;93;45;4862;138
31;40;57;97;49;4854;146
32;51;57;108;52;4840;160
33;48;63;111;57;4832;168
34;45;67;112;62;4826;174
35;47;71;118;67;4815;185
36;49;69;118;77;4805;195
37;50;76;126;84;4790;210
38;55;78;133;90;4777;223
39;65;77;142;97;4761;239
40;68;79;147;106;4747;253
41;76;86;162;109;4729;271
42;76;90;166;120;4714;286
43;81;94;175;129;4696;304
44;89;101;190;138;4672;328
45;95;107;202;146;4652;348
46;92;111;203;160;4637;363
47;99;118;217;168;4615;385
48;108;130;238;174;4588;412
49;114;143;257;185;4558;442
50;126;153;279;195;4526;474
51;150;153;303;210;4487;513
52;154;162;316;223;4461;539
53;164;173;337;239;4424;576
54;163;189;352;253;4395;605
55;175;203;378;271;4351;649
56;170;227;397;286;4317;683
57;185;235;420;304;4276;724
58;190;248;438;328;4234;766
59;202;257;459;348;4193;807
60;207;286;493;363;4144;856
61;214;298;512;385;4103;897
62;215;312;527;412;4061;939
63;234;324;558;442;4000;1000
64;249;333;582;474;3944;1056
65;247;343;590;513;3897;1103
66;247;358;605;539;3856;1144
67;270;363;633;576;3791;1209
68;271;395;666;605;3729;1271
69;274;407;681;649;3670;1330
70;288;420;708;683;3609;1391
71;303;420;723;724;3553;1447
72;295;443;738;766;3496;1504
73;286;464;750;807;3443;1557
74;302;474;776;856;3368;1632
75;312;494;806;897;3297;1703
76;323;508;831;939;3230;1770
77;327;504;831;1000;3169;1831
78;332;501;833;1056;3111;1889
79;325;529;854;1103;3043;1957
80;332;559;891;1144;2965;2035
81;336;561;897;1209;2894;2106
82;342;560;902;1271;2827;2173
83;345;559;904;1330;2766;2234
84;343;566;909;1391;2700;2300
85;319;588;907;1447;2646;2354
86;296;602;898;1504;2598;2402
87;290;616;906;1557;2537;2463
88;286;602;888;1632;2480;2520
89;295;597;892;1703;2405;2595
90;292;584;876;1770;2354;2646
91;300;571;871;1831;2298;2702
92;293;574;867;1889;2244;2756
93;284;563;847;1957;2196;2804
94;263;560;823;2035;2142;2858
95;265;540;805;2106;2089;2911
96;259;529;788;2173;2039;2961
97;262;522;784;2234;1982;3018
98;259;504;763;2300;1937;3063
99;250;504;754;2354;1892;3108
100;232;509;741;2402;1857;3143
101;222;498;720;2463;1817;3183
102;202;498;700;2520;1780;3220
103;194;468;662;2595;1743;3257
104;192;462;654;2646;1700;3300
105;196;441;637;2702;1661;3339
106;182;427;609;2756;1635;3365
107;167;416;583;2804;1613;3387
108;155;399;554;2858;1588;3412
109;138;389;527;2911;1562;3438
110;125;378;503;2961;1536;3464
111;123;347;470;3018;1512;3488
112;131;324;455;3063;1482;3518
113;119;304;423;3108;1469;3531
114;109;295;404;3143;1453;3547
115;100;281;381;3183;1436;3564
116;92;268;360;3220;1420;3580
117;75;261;336;3257;1407;3593
118;81;231;312;3300;1388;3612
119;77;208;285;3339;1376;3624
120;72;199;271;3365;1364;3636
121;68;193;261;3387;1352;3648
122;66;181;247;3412;1341;3659
123;54;174;228;3438;1334;3666
124;48;160;208;3464;1328;3672
125;39;148;187;3488;1325;3675
126;38;130;168;3518;1314;3686
127;39;128;167;3531;1302;3698
128;39;119;158;3547;1295;3705
129;42;108;150;3564;1286;3714
130;49;95;144;3580;1276;3724
131;42;93;135;3593;1272;3728
132;34;86;120;3612;1268;3732
133;27;81;108;3624;1268;3732
134;23;78;101;3636;1263;3737
135;17;76;93;3648;1259;3741
136;15;69;84;3659;1257;3743
137;12;66;78;3666;1256;3744
138;17;60;77;3672;1251;3749
139;18;62;80;3675;1245;3755
140;17;55;72;3686;1242;3758
141;16;45;61;3698;1241;3759
142;20;39;59;3705;1236;3764
143;16;35;51;3714;1235;3765
144;11;31;42;3724;1234;3766
145;9;30;39;3728;1233;3767
146;11;27;38;3732;1230;3770
147;8;32;40;3732;1228;3772
148;7;28;35;3737;1228;3772
149;7;25;32;3741;1227;3773
150;7;24;31;3743;1226;3774
151;6;26;32;3744;1224;3776
152;5;23;28;3749;1223;3777
153;8;17;25;3755;1220;3780
154;7;15;22;3758;1220;3780
155;7;15;22;3759;1219;3781
156;7;12;19;3764;1217;3783
157;6;12;18;3765;1217;3783
158;4;14;18;3766;1216;3784
159;4;13;17;3767;1216;3784
160;4;11;15;3770;1215;3785
161;2;11;13;3772;1215;3785
162;2;11;13;3772;1215;3785
163;1;11;12;3773;1215;3785
164;1;10;11;3774;1215;3785
165;1;9;10;3776;1214;3786
166;1;8;9;3777;1214;3786
167;1;5;6;3780;1214;3786
168;2;5;7;3780;1213;3787
169;2;4;6;3781;1213;3787
170;1;3;4;3783;1213;3787
