day;exposed;infectous;infected;recovered;susceptible;infected_cum
0;10;0;10;0;4990;10
1;10;0;10;0;4990;10
2;10;0;10;0;4990;10
3;10;0;10;0;4990;10
4;10;0;10;0;4990;10
5;0;10;10;0;4990;10
6;6;10;16;0;4984;16
7;14;10;24;0;4976;24
8;14;10;24;0;4976;24
9;17;10;27;0;4973;27
10;27;10;37;0;4963;37
11;27;16;43;0;4957;43
12;19;24;43;0;4957;43
13;24;24;48;0;4952;48
14;30;17;47;10;4943;57
15;24;27;51;10;4939;61
16;25;33;58;10;4932;68
17;36;33;69;10;4921;79
18;39;38;77;10;4913;87
19;43;47;90;10;4900;100
20;50;45;95;16;4889;111
21;59;44;103;24;4873;127
22;64;55;119;24;4857;143
23;68;60;128;27;4845;155
24;82;63;145;37;4818;182
25;92;68;160;43;4797;203
26;99;84;183;43;4774;226
27;103;95;198;48;4754;246
28;116;98;214;57;4729;271
29;124;121;245;61;4694;306
30;135;135;270;68;4662;338
31;156;147;303;79;4618;382
32;182;159;341;87;4572;428
33;208;171;379;100;4521;479
34;225;195;420;111;4469;531
35;251;211;462;127;4411;589
36;269;239;508;143;4349;651
37;286;273;559;155;4286;714
38;303;297;600;182;4218;782
39;328;328;656;203;4141;859
40;379;363;742;226;4032;968
41;411;405;816;246;3938;1062
42;461;443;904;271;3825;1175
43;500;476;976;306;3718;1282
44;530;521;1051;338;3611;1389
45;537;586;1123;382;3495;1505
46;582;634;1216;428;3356;1644
47;599;696;1295;479;3226;1774
48;640;751;1391;531;3078;1922
49;667;800;1467;589;2944;2056
50;710;854;1564;651;2785;2215
51;724;930;1654;714;2632;2368
52;750;992;1742;782;2476;2524
53;742;1063;1805;859;2336;2664
54;770;1088;1858;968;2174;2826
55;758;1153;1911;1062;2027;2973
56;756;1193;1949;1175;1876;3124
57;744;1242;1986;1282;1732;3268
58;751;1275;2026;1389;1585;3415
59;703;1321;2024;1505;1471;3529
60;675;1329;2004;1644;1352;3648
61;657;1350;2007;1774;1219;3781
62;623;1346;1969;1922;1109;3891
63;555;1359;1914;2056;1030;3970
64;521;1314;1835;2215;950;4050
65;471;1280;1751;2368;881;4119
66;401;1257;1658;2524;818;4182
67;374;1227;1601;2664;735;4265
68;341;1144;1485;2826;689;4311
69;313;1077;1390;2973;637;4363
70;284;995;1279;3124;597;4403
71;257;914;1171;3268;561;4439
72;212;850;1062;3415;523;4477
73;191;782;973;3529;498;4502
74;162;715;877;3648;475;4525
75;144;622;766;3781;453;4547
76;125;548;673;3891;436;4564
77;111;507;618;3970;412;4588
78;100;452;552;4050;398;4602
79;89;406;495;4119;386;4614
80;77;365;442;4182;376;4624
81;68;299;367;4265;368;4632
82;51;277;328;4311;361;4639
83;39;239;278;4363;359;4641
84;32;211;243;4403;354;4646
85;28;185;213;4439;348;4652
86;27;155;182;4477;341;4659
87;25;137;162;4502;336;4664
88;26;116;142;4525;333;4667
89;22;99;121;4547;332;4668
90;20;88;108;4564;328;4672
91;14;71;85;4588;327;4673
92;9;62;71;4602;327;4673
93;9;53;62;4614;324;4676
94;9;44;53;4624;323;4677
95;5;40;45;4632;323;4677
96;5;34;39;4639;322;4678
97;6;32;38;4641;321;4679
98;5;30;35;4646;319;4681
99;4;25;29;4652;319;4681
100;5;18;23;4659;318;4682
101;4;14;18;4664;318;4682
102;4;12;16;4667;317;4683
103;2;13;15;4668;317;4683
104;2;9;11;4672;317;4683
105;1;9;10;4673;317;4683
106;1;9;10;4673;317;4683
107;0;7;7;4676;317;4683
108;0;6;6;4677;317;4683
109;1;6;7;4677;316;4684
110;1;5;6;4678;316;4684
111;1;4;5;4679;316;4684
112;1;2;3;4681;316;4684
