day;exposed;infectous;infected;recovered;susceptible;infected_cum
0;10;0;10;0;4990;10
1;10;0;10;0;4990;10
2;10;0;10;0;4990;10
3;10;0;10;0;4990;10
4;10;0;10;0;4990;10
5;0;10;10;0;4990;10
6;4;10;14;0;4986;14
7;7;10;17;0;4983;17
8;11;10;21;0;4979;21
9;14;10;24;0;4976;24
10;16;10;26;0;4974;26
11;16;14;30;0;4970;30
12;14;17;31;0;4969;31
13;14;21;35;0;4965;35
14;15;14;29;10;4961;39
15;17;16;33;10;4957;43
16;18;20;38;10;4952;48
17;21;21;42;10;4948;52
18;23;25;48;10;4942;58
19;23;29;52;10;4938;62
20;24;29;53;14;4933;67
21;23;31;54;17;4929;71
22;21;31;52;21;4927;73
23;23;34;57;24;4919;81
24;26;36;62;26;4912;88
25;33;37;70;30;4900;100
26;37;40;77;31;4892;108
27;43;38;81;35;4884;116
28;45;42;87;39;4874;126
29;43;45;88;43;4869;131
30;35;52;87;48;4865;135
31;37;56;93;52;4855;145
32;39;58;97;58;4845;155
33;48;64;112;62;4826;174
34;56;64;120;67;4813;187
35;70;64;134;71;4795;205
36;82;72;154;73;4773;227
37;85;74;159;81;4760;240
38;78;86;164;88;4748;252
39;89;87;176;100;4724;276
40;91;97;188;108;4704;296
41;91;111;202;116;4682;318
42;99;114;213;126;4661;339
43;112;121;233;131;4636;364
44;114;141;255;135;4610;390
45;125;151;276;145;4579;421
46;129;163;292;155;4553;447
47;139;165;304;174;4522;478
48;151;177;328;187;4485;515
49;160;185;345;205;4450;550
50;167;194;361;227;4412;588
51;177;207;384;240;4376;624
52;192;226;418;252;4330;670
53;206;239;445;276;4279;721
54;222;254;476;296;4228;772
55;241;270;511;318;4171;829
56;259;285;544;339;4117;883
57;264;306;570;364;4066;934
58;261;331;592;390;4018;982
59;265;351;616;421;3963;1037
60;289;382;671;447;3882;1118
61;297;405;702;478;3820;1180
62;308;419;727;515;3758;1242
63;328;432;760;550;3690;1310
64;355;449;804;588;3608;1392
65;341;494;835;624;3541;1459
66;356;510;866;670;3464;1536
67;376;521;897;721;3382;1618
68;397;538;935;772;3293;1707
69;398;563;961;829;3210;1790
70;409;576;985;883;3132;1868
71;418;602;1020;934;3046;1954
72;420;636;1056;982;2962;2038
73;423;670;1093;1037;2870;2130
74;421;672;1093;1118;2789;2211
75;428;688;1116;1180;2704;2296
76;422;712;1134;1242;2624;2376
77;415;728;1143;1310;2547;2453
78;414;738;1152;1392;2456;2544
79;410;752;1162;1459;2379;2621
80;409;760;1169;1536;2295;2705
81;406;758;1164;1618;2218;2782
82;412;746;1158;1707;2135;2865
83;395;754;1149;1790;2061;2939
84;389;753;1142;1868;1990;3010
85;362;751;1113;1954;1933;3067
86;348;744;1092;2038;1870;3130
87;339;735;1074;2130;1796;3204
88;324;728;1052;2211;1737;3263
89;298;714;1012;2296;1692;3308
90;294;691;985;2376;1639;3361
91;288;677;965;2453;1582;3418
92;253;660;913;2544;1543;3457
93;257;642;899;2621;1480;3520
94;260;603;863;2705;1432;3568
95;246;579;825;2782;1393;3607
96;229;553;782;2865;1353;3647
97;221;518;739;2939;1322;3678
98;191;510;701;3010;1289;3711
99;174;501;675;3067;1258;3742
100;168;477;645;3130;1225;3775
101;149;443;592;3204;1204;3796
102;149;415;564;3263;1173;3827
103;141;403;544;3308;1148;3852
104;136;381;517;3361;1122;3878
105;117;357;474;3418;1108;3892
106;103;339;442;3457;1101;3899
107;83;307;390;3520;1090;3910
108;78;284;362;3568;1070;3930
109;63;271;334;3607;1059;3941
110;61;245;306;3647;1047;3953
111;71;221;292;3678;1030;3970
112;72;199;271;3711;1018;3982
113;58;188;246;3742;1012;3988
114;59;166;225;3775;1000;4000
115;49;157;206;3796;998;4002
116;39;143;182;3827;991;4009
117;35;130;165;3852;983;4017
118;34;110;144;3878;978;4022
119;26;108;134;3892;974;4026
120;36;103;139;3899;962;4038
121;33;99;132;3910;958;4042
122;30;87;117;3930;953;4047
123;26;81;107;3941;952;4048
124;25;73;98;3953;949;4051
125;15;68;83;3970;947;4053
126;13;60;73;3982;945;4055
127;10;59;69;3988;943;4057
128;9;48;57;4000;943;4057
129;7;49;56;4002;942;4058
130;8;44;52;4009;939;4061
131;9;38;47;4017;936;4064
132;8;35;43;4022;935;4065
133;13;31;44;4026;930;4070
134;13;20;33;4038;929;4071
135;10;19;29;4042;929;4071
136;8;17;25;4047;928;4072
137;7;17;24;4048;928;4072
138;3;19;22;4051;927;4073
139;3;18;21;4053;926;4074
140;4;16;20;4055;925;4075
141;5;15;20;4057;923;4077
142;5;15;20;4057;923;4077
143;4;15;19;4058;923;4077
144;3;13;16;4061;923;4077
145;3;11;14;4064;922;4078
146;1;12;13;4065;922;4078
147;1;7;8;4070;922;4078
148;1;6;7;4071;922;4078
149;1;6;7;4071;922;4078
150;0;6;6;4072;922;4078
151;0;6;6;4072;922;4078
152;1;5;6;4073;921;4079
153;2;4;6;4074;920;4080
154;3;3;6;4075;919;4081
155;3;1;4;4077;919;4081
