day;exposed;infectous;infected;recovered;susceptible;infected_cum
0;10;0;10;0;4990;10
1;10;0;10;0;4990;10
2;10;0;10;0;4990;10
3;10;0;10;0;4990;10
4;10;0;10;0;4990;10
5;0;10;10;0;4990;10
6;3;10;13;0;4987;13
7;5;10;15;0;4985;15
8;11;10;21;0;4979;21
9;16;10;26;0;4974;26
10;19;10;29;0;4971;29
11;21;13;34;0;4966;34
12;27;15;42;0;4958;42
13;38;21;59;0;4941;59
14;37;16;53;10;4937;63
15;41;19;60;10;4930;70
16;45;24;69;10;4921;79
17;40;32;72;10;4918;82
18;31;49;80;10;4910;90
19;40;53;93;10;4897;103
20;48;57;105;13;4882;118
21;58;64;122;15;4863;137
22;78;61;139;21;4840;160
23;92;64;156;26;4818;182
24;110;74;184;29;4787;213
25;124;84;208;34;4758;242
26;135;95;230;42;4728;272
27;141;101;242;59;4699;301
28;147;119;266;63;4671;329
29;150;143;293;70;4637;363
30;162;163;325;79;4596;404
31;183;190;373;82;4545;455
32;215;211;426;90;4484;516
33;259;226;485;103;4412;588
34;292;245;537;118;4345;655
35;317;267;584;137;4279;721
36;339;295;634;160;4206;794
37;366;334;700;182;4118;882
38;395;375;770;213;4017;983
39;411;413;824;242;3934;1066
40;448;449;897;272;3831;1169
41;481;493;974;301;3725;1275
42;524;553;1077;329;3594;1406
43;550;620;1170;363;3467;1533
44;622;662;1284;404;3312;1688
45;648;714;1362;455;3183;1817
46;706;759;1465;516;3019;1981
47;724;818;1542;588;2870;2130
48;755;878;1633;655;2712;2288
49;748;967;1715;721;2564;2436
50;798;1023;1821;794;2385;2615
51;775;1099;1874;882;2244;2756
52;780;1147;1927;983;2090;2910
53;768;1222;1990;1066;1944;3056
54;738;1267;2005;1169;1826;3174
55;698;1340;2038;1275;1687;3313
56;707;1350;2057;1406;1537;3463
57;696;1377;2073;1533;1394;3606
58;672;1368;2040;1688;1272;3728
59;676;1357;2033;1817;1150;3850
60;648;1332;1980;1981;1039;3961
61;592;1333;1925;2130;945;4055
62;552;1318;1870;2288;842;4158
63;499;1292;1791;2436;773;4227
64;438;1235;1673;2615;712;4288
65;400;1205;1605;2756;639;4361
66;367;1145;1512;2910;578;4422
67;310;1102;1412;3056;532;4468
68;280;1053;1333;3174;493;4507
69;261;975;1236;3313;451;4549
70;219;898;1117;3463;420;4580
71;180;816;996;3606;398;4602
72;162;740;902;3728;370;4630
73;135;657;792;3850;358;4642
74;109;588;697;3961;342;4658
75;89;525;614;4055;331;4669
76;76;444;520;4158;322;4678
77;55;403;458;4227;315;4685
78;53;354;407;4288;305;4695
79;48;297;345;4361;294;4706
80;41;247;288;4422;290;4710
81;38;210;248;4468;284;4716
82;36;178;214;4507;279;4721
83;30;146;176;4549;275;4725
84;20;126;146;4580;274;4726
85;20;108;128;4602;270;4730
86;16;86;102;4630;268;4732
87;12;79;91;4642;267;4733
88;12;67;79;4658;263;4737
89;11;57;68;4669;263;4737
90;7;52;59;4678;263;4737
91;5;47;52;4685;263;4737
92;6;38;44;4695;261;4739
93;2;31;33;4706;261;4739
94;3;27;30;4710;260;4740
95;3;21;24;4716;260;4740
96;3;16;19;4721;260;4740
97;1;14;15;4725;260;4740
98;2;13;15;4726;259;4741
99;2;10;12;4730;258;4742
100;2;8;10;4732;258;4742
101;2;7;9;4733;258;4742
102;2;3;5;4737;258;4742
103;1;4;5;4737;258;4742
104;0;5;5;4737;258;4742
105;0;5;5;4737;258;4742
106;0;3;3;4739;258;4742
