day;exposed;infectous;infected;recovered;susceptible;infected_cum
0;10;0;10;0;4990;10
1;10;0;10;0;4990;10
2;10;0;10;0;4990;10
3;10;0;10;0;4990;10
4;10;0;10;0;4990;10
5;0;10;10;0;4990;10
6;2;10;12;0;4988;12
7;4;10;14;0;4986;14
8;7;10;17;0;4983;17
9;11;10;21;0;4979;21
10;17;10;27;0;4973;27
11;17;12;29;0;4971;29
12;16;14;30;0;4970;30
13;20;17;37;0;4963;37
14;21;11;32;10;4958;42
15;21;17;38;10;4952;48
16;29;19;48;10;4942;58
17;32;20;52;10;4938;62
18;30;27;57;10;4933;67
19;31;32;63;10;4927;73
20;35;36;71;12;4917;83
21;38;44;82;14;4904;96
22;41;45;86;17;4897;103
23;50;46;96;21;4883;117
24;61;46;107;27;4866;134
25;65;54;119;29;4852;148
26;66;66;132;30;4838;162
27;68;66;134;37;4829;171
28;73;75;148;42;4810;190
29;75;86;161;48;4791;209
30;93;90;183;58;4759;241
31;119;100;219;62;4719;281
32;137;104;241;67;4692;308
33;150;117;267;73;4660;340
34;167;126;293;83;4624;376
35;163;145;308;96;4596;404
36;160;178;338;103;4559;441
37;189;191;380;117;4503;497
38;202;206;408;134;4458;542
39;220;228;448;148;4404;596
40;252;242;494;162;4344;656
41;273;270;543;171;4286;714
42;299;307;606;190;4204;796
43;345;333;678;209;4113;887
44;376;355;731;241;4028;972
45;396;375;771;281;3948;1052
46;433;406;839;308;3853;1147
47;433;456;889;340;3771;1229
48;463;511;974;376;3650;1350
49;514;568;1082;404;3514;1486
50;579;611;1190;441;3369;1631
51;612;650;1262;497;3241;1759
52;658;687;1345;542;3113;1887
53;677;754;1431;596;2973;2027
54;662;830;1492;656;2852;2148
55;670;917;1587;714;2699;2301
56;681;963;1644;796;2560;2440
57;694;1000;1694;887;2419;2581
58;688;1055;1743;972;2285;2715
59;730;1096;1826;1052;2122;2878
60;709;1154;1863;1147;1990;3010
61;704;1211;1915;1229;1856;3144
62;707;1231;1938;1350;1712;3288
63;685;1229;1914;1486;1600;3400
64;641;1247;1888;1631;1481;3519
65;612;1251;1863;1759;1378;3622
66;588;1257;1845;1887;1268;3732
67;542;1261;1803;2027;1170;3830
68;508;1252;1760;2148;1092;3908
69;470;1218;1688;2301;1011;3989
70;450;1182;1632;2440;928;4072
71;406;1151;1557;2581;862;4138
72;377;1115;1492;2715;793;4207
73;341;1030;1371;2878;751;4249
74;318;979;1297;3010;693;4307
75;272;928;1200;3144;656;4344
76;240;850;1090;3288;622;4378
77;198;807;1005;3400;595;4405
78;184;730;914;3519;567;4433
79;154;685;839;3622;539;4461
80;138;612;750;3732;518;4482
81;131;548;679;3830;491;4509
82;125;497;622;3908;470;4530
83;108;444;552;3989;459;4541
84;94;389;483;4072;445;4555
85;87;344;431;4138;431;4569
86;72;302;374;4207;419;4581
87;61;281;342;4249;409;4591
88;60;234;294;4307;399;4601
89;56;211;267;4344;389;4611
90;47;191;238;4378;384;4616
91;39;176;215;4405;380;4620
92;34;158;192;4433;375;4625
93;26;140;166;4461;373;4627
94;17;129;146;4482;372;4628
95;16;107;123;4509;368;4632
96;15;90;105;4530;365;4635
97;14;84;98;4541;361;4639
98;14;72;86;4555;359;4641
99;17;59;76;4569;355;4645
100;13;51;64;4581;355;4645
101;10;44;54;4591;355;4645
102;6;38;44;4601;355;4645
103;5;30;35;4611;354;4646
104;1;29;30;4616;354;4646
105;1;25;26;4620;354;4646
106;1;20;21;4625;354;4646
107;2;18;20;4627;353;4647
108;1;18;19;4628;353;4647
109;1;14;15;4632;353;4647
110;1;11;12;4635;353;4647
111;1;7;8;4639;353;4647
112;1;6;7;4641;352;4648
113;1;2;3;4645;352;4648
