day;exposed;infectous;infected;recovered;susceptible;infected_cum
0;10;0;10;0;4990;10
1;10;0;10;0;4990;10
2;10;0;10;0;4990;10
3;10;0;10;0;4990;10
4;10;0;10;0;4990;10
5;0;10;10;0;4990;10
6;4;10;14;0;4986;14
7;8;10;18;0;4982;18
8;8;10;18;0;4982;18
9;11;10;21;0;4979;21
10;13;10;23;0;4977;23
11;14;14;28;0;4972;28
12;17;18;35;0;4965;35
13;20;18;38;0;4962;38
14;21;11;32;10;4958;42
15;21;13;34;10;4956;44
16;21;18;39;10;4951;49
17;18;25;43;10;4947;53
18;22;28;50;10;4940;60
19;24;32;56;10;4934;66
20;33;30;63;14;4923;77
21;34;31;65;18;4917;83
22;40;35;75;18;4907;93
23;41;39;80;21;4899;101
24;49;43;92;23;4885;115
25;46;49;95;28;4877;123
26;48;48;96;35;4869;131
27;51;55;106;38;4856;144
28;57;59;116;42;4842;158
29;56;71;127;44;4829;171
30;63;74;137;49;4814;186
31;75;78;153;53;4794;206
32;73;84;157;60;4783;217
33;77;92;169;66;4765;235
34;94;94;188;77;4735;265
35;98;103;201;83;4716;284
36;102;113;215;93;4692;308
37;112;116;228;101;4671;329
38;116;120;236;115;4649;351
39;118;142;260;123;4617;383
40;117;153;270;131;4599;401
41;130;164;294;144;4562;438
42;147;171;318;158;4524;476
43;159;180;339;171;4490;510
44;169;197;366;186;4448;552
45;193;195;388;206;4406;594
46;189;221;410;217;4373;627
47;188;241;429;235;4336;664
48;198;245;443;265;4292;708
49;209;268;477;284;4239;761
50;215;286;501;308;4191;809
51;239;298;537;329;4134;866
52;285;313;598;351;4051;949
53;299;325;624;383;3993;1007
54;315;360;675;401;3924;1076
55;341;371;712;438;3850;1150
56;368;390;758;476;3766;1234
57;354;439;793;510;3697;1303
58;383;455;838;552;3610;1390
59;397;482;879;594;3527;1473
60;425;523;948;627;3425;1575
61;430;570;1000;664;3336;1664
62;460;595;1055;708;3237;1763
63;459;629;1088;761;3151;1849
64;497;664;1161;809;3030;1970
65;506;709;1215;866;2919;2081
66;524;715;1239;949;2812;2188
67;521;756;1277;1007;2716;2284
68;532;773;1305;1076;2619;2381
69;500;820;1320;1150;2530;2470
70;499;847;1346;1234;2420;2580
71;478;885;1363;1303;2334;2666
72;493;894;1387;1390;2223;2777
73;490;908;1398;1473;2129;2871
74;490;895;1385;1575;2040;2960
75;461;916;1377;1664;1959;3041
76;453;903;1356;1763;1881;3119
77;428;928;1356;1849;1795;3205
78;416;901;1317;1970;1713;3287
79;398;879;1277;2081;1642;3358
80;392;853;1245;2188;1567;3433
81;380;835;1215;2284;1501;3499
82;339;824;1163;2381;1456;3544
83;316;817;1133;2470;1397;3603
84;302;778;1080;2580;1340;3660
85;285;767;1052;2666;1282;3718
86;269;722;991;2777;1232;3768
87;268;673;941;2871;1188;3812
88;239;643;882;2960;1158;3842
89;212;619;831;3041;1128;3872
90;181;599;780;3119;1101;3899
91;164;563;727;3205;1068;3932
92;155;525;680;3287;1033;3967
93;154;484;638;3358;1004;3996
94;139;439;578;3433;989;4011
95;134;400;534;3499;967;4033
96;122;388;510;3544;946;4054
97;103;364;467;3603;930;4070
98;89;336;425;3660;915;4085
99;88;293;381;3718;901;4099
100;82;265;347;3768;885;4115
101;66;242;308;3812;880;4120
102;60;228;288;3842;870;4130
103;55;213;268;3872;860;4140
104;47;200;247;3899;854;4146
105;38;183;221;3932;847;4153
106;41;153;194;3967;839;4161
107;37;134;171;3996;833;4167
108;34;129;163;4011;826;4174
109;32;113;145;4033;822;4178
110;30;99;129;4054;817;4183
111;25;91;116;4070;814;4186
112;22;82;104;4085;811;4189
113;18;75;93;4099;808;4192
114;19;63;82;4115;803;4197
115;16;63;79;4120;801;4199
116;16;56;72;4130;798;4202
117;16;49;65;4140;795;4205
118;17;46;63;4146;791;4209
119;14;44;58;4153;789;4211
120;13;38;51;4161;788;4212
121;11;35;46;4167;787;4213
122;9;31;40;4174;786;4214
123;5;31;36;4178;786;4214
124;3;28;31;4183;786;4214
125;3;26;29;4186;785;4215
126;3;24;27;4189;784;4216
127;4;22;26;4192;782;4218
128;4;17;21;4197;782;4218
129;6;15;21;4199;780;4220
130;6;13;19;4202;779;4221
131;6;11;17;4205;778;4222
132;5;9;14;4209;777;4223
133;5;7;12;4211;777;4223
134;3;8;11;4212;777;4223
135;2;8;10;4213;777;4223
136;1;8;9;4214;777;4223
137;0;9;9;4214;777;4223
138;0;9;9;4214;777;4223
139;0;8;8;4215;777;4223
140;1;7;8;4216;776;4224
141;1;5;6;4218;776;4224
142;1;5;6;4218;776;4224
143;1;3;4;4220;776;4224
